,game_id,sport,date,game_time,home_team,away_team,bookmaker_name,last_update_time,bet_side,moneyline,payout,implied_odds
127,e29e1058a36ca431ecbe7a6adcea43b9,NBA,2022-03-11,2022-03-11 19:10:00-06:00,Miami Heat,Cleveland Cavaliers,DraftKings,2022-03-10 22:51:07+00:00,Miami Heat,-240,0.42,0.706
128,e29e1058a36ca431ecbe7a6adcea43b9,NBA,2022-03-11,2022-03-11 19:10:00-06:00,Miami Heat,Cleveland Cavaliers,FanDuel,2022-03-10 22:49:49+00:00,Cleveland Cavaliers,188,1.88,0.347
129,e29e1058a36ca431ecbe7a6adcea43b9,NBA,2022-03-11,2022-03-11 19:10:00-06:00,Miami Heat,Cleveland Cavaliers,FanDuel,2022-03-10 22:49:49+00:00,Miami Heat,-225,0.44,0.692
132,5a16924cab062613c4210c7beea05943,NBA,2022-03-11,2022-03-11 19:10:00-06:00,Memphis Grizzlies,New York Knicks,FanDuel,2022-03-10 22:49:49+00:00,Memphis Grizzlies,-450,0.22,0.818
133,5a16924cab062613c4210c7beea05943,NBA,2022-03-11,2022-03-11 19:10:00-06:00,Memphis Grizzlies,New York Knicks,FanDuel,2022-03-10 22:49:49+00:00,New York Knicks,350,3.5,0.222
140,5a16924cab062613c4210c7beea05943,NBA,2022-03-11,2022-03-11 19:10:00-06:00,Memphis Grizzlies,New York Knicks,DraftKings,2022-03-10 22:51:07+00:00,Memphis Grizzlies,-490,0.2,0.831
141,5a16924cab062613c4210c7beea05943,NBA,2022-03-11,2022-03-11 19:10:00-06:00,Memphis Grizzlies,New York Knicks,DraftKings,2022-03-10 22:51:07+00:00,New York Knicks,360,3.6,0.217
142,5a16924cab062613c4210c7beea05943,NBA,2022-03-11,2022-03-11 19:10:00-06:00,Memphis Grizzlies,New York Knicks,BetMGM,2022-03-10 22:50:58+00:00,Memphis Grizzlies,-450,0.22,0.818
143,5a16924cab062613c4210c7beea05943,NBA,2022-03-11,2022-03-11 19:10:00-06:00,Memphis Grizzlies,New York Knicks,BetMGM,2022-03-10 22:50:58+00:00,New York Knicks,350,3.5,0.222
146,180780dec2e05f5b3436561c5d2de2a3,NBA,2022-03-11,2022-03-11 21:40:00-06:00,Los Angeles Lakers,Washington Wizards,FanDuel,2022-03-10 22:49:49+00:00,Los Angeles Lakers,-198,0.51,0.664
147,180780dec2e05f5b3436561c5d2de2a3,NBA,2022-03-11,2022-03-11 21:40:00-06:00,Los Angeles Lakers,Washington Wizards,FanDuel,2022-03-10 22:49:49+00:00,Washington Wizards,166,1.66,0.376
150,180780dec2e05f5b3436561c5d2de2a3,NBA,2022-03-11,2022-03-11 21:40:00-06:00,Los Angeles Lakers,Washington Wizards,DraftKings,2022-03-10 22:51:07+00:00,Los Angeles Lakers,-180,0.56,0.643
151,180780dec2e05f5b3436561c5d2de2a3,NBA,2022-03-11,2022-03-11 21:40:00-06:00,Los Angeles Lakers,Washington Wizards,DraftKings,2022-03-10 22:51:07+00:00,Washington Wizards,155,1.55,0.392
